"","gene_id","gene_short_name","cell_group","marker_score","mean_expression","fraction_expressing","specificity","pseudo_R2","marker_test_p_value","marker_test_q_value"
"1","WBGene00010957","nduo-6","AIA",0.0158874926139267,41.4302052141582,0.99537037037037,0.0159613879284101,0.0228451118252511,"8.04e-18","2.93e-11"
"2","WBGene00010957","nduo-6","AIB",0.0124544902473883,30.9929425555758,0.996078431372549,0.0125035236735591,0.00545908411834526,"6.40e-06","1.00e+00"
"3","WBGene00010957","nduo-6","AIY",0.0136570282881319,34.4121784317431,1,0.0136570282881319,0.00958245410853681,"8.97e-05","1.00e+00"
"4","WBGene00010957","nduo-6","AVH",0.0146437980391402,37.3877265245429,1,0.0146437980391402,0.0150973183945972,"8.81e-07","1.00e+00"
"5","WBGene00010957","nduo-6","CEP_ADE_PDE",0.0148802972810472,38.750646060479,0.986046511627907,0.0150908675255903,0.0174023599571261,"6.89e-14","2.51e-07"
"6","WBGene00010957","nduo-6","Cephalic sheath",0.016782328626316,44.0323613255311,0.999147485080989,0.0167966480193419,0.0492909651222209,"1.17e-143","4.26e-137"
"7","WBGene00010957","nduo-6","Excretory gland",0.0167579163022753,44.3612988769911,0.991501416430595,0.0169015555848663,0.0207010617117421,"6.05e-24","2.20e-17"
"8","WBGene00010957","nduo-6","g1P (pharyngeal gland)",0.0120541656709005,30.0073344423275,0.990740740740741,0.0121668214248342,0.00133454406792928,"5.29e-03","1.00e+00"
"9","WBGene00010957","nduo-6","Glia_1",0.0157276177948017,40.7666312104273,0.998780487804878,0.0157468212353326,0.0314938393213504,"8.51e-70","3.10e-63"
"10","WBGene00010957","nduo-6","hyp4_to_hyp6",0.0152215982796374,39.3277066297238,0.996225577264654,0.0152792686987936,0.0498099989270588,"0.00e+00","0.00e+00"
"11","WBGene00010957","nduo-6","I1",0.0213403590767667,58.6871549513984,1,0.0213403590767667,0.0712695827117678,"3.72e-18","1.36e-11"
"12","WBGene00010957","nduo-6","I2",0.0183346623459849,48.9007472582192,1,0.0183346623459849,0.0402114370618056,"1.29e-08","4.71e-02"
"13","WBGene00010957","nduo-6","LUA",0.0155862422943706,40.271345707611,1,0.0155862422943706,0.0201873896661595,"1.12e-04","1.00e+00"
"14","WBGene00010957","nduo-6","M2",0.0171535442767842,45.153307651413,1,0.0171535442767842,0.0404602521439999,"2.89e-24","1.05e-17"
"15","WBGene00010957","nduo-6","M3",0.0206731411039097,56.4847570038176,1,0.0206731411039097,0.0620594792749923,"1.02e-14","3.71e-08"
"16","WBGene00010957","nduo-6","RIB",0.0172141649944101,45.3442387885373,1,0.0172141649944101,0.0326212746764009,"6.29e-13","2.29e-06"
"17","WBGene00010957","nduo-6","RID",0.0138052381958631,35.0225366767037,0.996,0.0138606809195413,0.0124376462680978,"1.43e-11","5.21e-05"
"18","WBGene00010957","nduo-6","RIH",0.013521920916174,34.0083454683532,1,0.013521920916174,0.0137155646232773,"5.36e-07","1.00e+00"
"19","WBGene00010957","nduo-6","RIP",0.0171022676389911,45.6490190867319,0.987951807228916,0.017310831878491,0.0302194618108486,"6.76e-11","2.46e-04"
"20","WBGene00010957","nduo-6","RIV",0.0141163609734077,35.791601299684,1,0.0141163609734077,0.0169750199700691,"4.09e-12","1.49e-05"
"21","WBGene00010957","nduo-6","RME",0.0217855905678825,60.1660291414432,1,0.0217855905678825,0.070691292820859,"1.84e-28","6.69e-22"
"22","WBGene00010957","nduo-6","RMG",0.0114609507462964,27.9599773344491,1,0.0114609507462964,0.00269064085236244,"3.71e-02","1.00e+00"
"23","WBGene00010957","nduo-6","SAA",0.0162496172269549,42.3247518096726,1,0.0162496172269549,0.0289275684497034,"5.27e-12","1.92e-05"
"24","WBGene00010957","nduo-6","sh1 (gonadal sheath distal)",0.0212057869419804,58.2795399638056,0.999459654178674,0.0212172515952199,0.174521095977191,"0.00e+00","0.00e+00"
"25","WBGene00010957","nduo-6","sh3_sh4 (gonadal sheath proximal)",0.0173773012332594,46.0271942270022,0.996941896024465,0.0174306058382694,0.0687133152205864,"0.00e+00","0.00e+00"
"26","WBGene00010957","nduo-6","Unassigned hypodermis/gonadal sheath",0.0167590333808748,43.9145343344198,1,0.0167590333808748,0.0547724854733176,"1.38e-137","5.01e-131"
